4 50 200
0 0	7.486114e-01 7.668419e-01
-1.165062e+00
1.587301e+00
4.339817e-01
-3.069548e-01
-1.505595e+00
4.121003e-01
6.871493e-01
-3.568081e-01
-6.463934e-02
8.954872e-01
-1.190528e-01
5.143080e-01
1.003302e+00
1.643702e+00
8.346629e-01
3.642145e-01
-8.210434e-01
-1.575101e+00
4.001291e-01
1.026240e+00
6.882111e-01
4.938416e-01
-5.836924e-02
-5.494403e-02
1.548514e+00
8.349017e-01
2.804097e-01
2.352631e-01
1.482341e-02
2.353903e+00
1.061799e+00
-5.867753e-01
1.578850e+00
-1.234486e+00
1.210622e-01
2.221188e-02
-3.113162e-02
1.121772e+00
1.688851e+00
1.342507e+00
-2.000421e-01
-7.022219e-01
-2.097684e+00
